date,event_name,first_name,last_name,car_number,class,car_model,region,total
2024-08-31,2024 Great Lakes Divisional,Michael,Golden,2,SR,2001 Toyota MR2,Ohio Valley Region,591.275
2024-08-31,2024 Great Lakes Divisional,Greggory,Rome,50,SR,2011 Ford Crown Victoria,Ohio Valley Region,659.631
2024-08-31,2024 Great Lakes Divisional,Don,Perlick,13,SR,1986 Pontiac Fiero,Ohio Valley Region,687.046
2024-08-31,2024 Great Lakes Divisional,Timothy,Thompson,63,SA,2016 Ford FOCUS RS,Ohio Valley Region,657.579
2024-08-31,2024 Great Lakes Divisional,Trevor,Mertz,555,SA,2009 Audi A4,Ohio Valley Region,691.668
2024-08-31,2024 Great Lakes Divisional,Jesse,Thompson,163,SA,2016 Ford FOCUS RS,Ohio Valley Region,694.245
2024-08-31,2024 Great Lakes Divisional,Ronald,Pokrandt,68,SA,2011 Infiniti G37,Ohio Valley Region,788.943
2024-08-31,2024 Great Lakes Divisional,Sidney,Scott,187,PF,2002 Mini Cooper S,Ohio Valley Region,602.260
2024-08-31,2024 Great Lakes Divisional,Alex,Ashbaugh,72,PF,2003 Dodge Neon SXT,Ohio Valley Region,609.177
2024-08-31,2024 Great Lakes Divisional,John,England,87,PF,2002 Mini Cooper S,Ohio Valley Region,619.137
2024-08-31,2024 Great Lakes Divisional,Shawn,Roberts,17,PR,2002 Mazda Miata,Ohio Valley Region,573.904
2024-08-31,2024 Great Lakes Divisional,Katie,Orgler,117,PR,2002 Mazda Miata,Ohio Valley Region,600.950
2024-08-31,2024 Great Lakes Divisional,Pete,Remner,74,PR,1981 Mazda RX-7,Ohio Valley Region,613.902
2024-08-31,2024 Great Lakes Divisional,Colin,Sheidler,23,PA,2003 Subaru WRX,Ohio Valley Region,661.104
2024-08-31,2024 Great Lakes Divisional,Alan,Sheidler,123,PA,2003 Subaru WRX,Ohio Valley Region,671.721
2024-08-31,2024 Great Lakes Divisional,Zbigniew,Lorenc,22,MF,1998 Volkswagen GTI,Ohio Valley Region,549.292
2024-08-31,2024 Great Lakes Divisional,Andy,Thomas,82,MF,2003 Toyota celica,Ohio Valley Region,564.934
2024-08-31,2024 Great Lakes Divisional,Ian,Glen,469,MF,2014 Chevrolet Sonic RS,Ohio Valley Region,612.819
2024-08-31,2024 Great Lakes Divisional,Valerie,Hansen,70,MF,2006 Nissan Spec v ser sentra,Ohio Valley Region,747.897
2024-08-31,2024 Great Lakes Divisional,Brian,Glen,23,MR,1990 BMW 318i,Ohio Valley Region,639.527
2024-08-31,2024 Great Lakes Divisional,Jeff,Glen,61,MR,1998 BMW 318ti,Ohio Valley Region,650.345
2024-08-31,2024 Great Lakes Divisional,Joshua,Hickey,424,MR,1985 BMW 318M50,Ohio Valley Region,653.055
2024-08-31,2024 Great Lakes Divisional,Robert,Tandy,161,MR,1998 BMW 318ti,Ohio Valley Region,662.788
2024-08-31,2024 Great Lakes Divisional,Evan,Arthur,11,MR,1990 Mazda Miata,Ohio Valley Region,685.736
2024-08-31,2024 Great Lakes Divisional,Tyler,Powers,3,MR,1986 Jeep Comanche,Ohio Valley Region,691.054
2024-08-31,2024 Great Lakes Divisional,Brock,Yoder,14,MR,2002 BMW 330i,Ohio Valley Region,745.638
2024-08-31,2024 Great Lakes Divisional,Michael,Julian,13,MA,1996 Subaru Impreza Brighton Cou,Ohio Valley Region,570.302
2024-08-31,2024 Great Lakes Divisional,Connor,Ryan,195,MA,2004 Subaru FrankenWRX,Ohio Valley Region,576.217
2024-08-31,2024 Great Lakes Divisional,Tami,Tackett,95,MA,2004 Subaru FrankenWRX,Ohio Valley Region,631.047
2024-08-31,2024 Great Lakes Divisional,Stephen,Parsons,428,US,2015 Polaris XP 1000,Ohio Valley Region,559.405
2024-08-31,2024 Great Lakes Divisional,Ed,Trudeau,23,US,2019 Yamaha YXZ1000,Ohio Valley Region,569.345
2024-08-31,2024 Great Lakes Divisional,Wyatt,Rhodes,41,US,2024 Yamaha Yxz,Ohio Valley Region,594.083
2024-08-31,2024 Great Lakes Divisional,Gary,Rhodes,141,US,2024 Yamaha Yxz,Ohio Valley Region,622.849
2024-08-31,2024 Great Lakes Divisional,Kenneth,Mcbee,89,US,2023 Yamaha YZX,Ohio Valley Region,644.681
2024-08-31,2024 Great Lakes Divisional,Jonathan,Coatney,99,UM,2020 Can-Am Maverick X3,Ohio Valley Region,541.706
