date,event_name,class,car_number,first_name,last_name,car_model,region,total
2023-10-06,2023 National Championship,MR,86,Parker,Field,1990 Mazda Miata,Kansas City,702.743
2023-10-06,2023 National Championship,MA,421,Chris,Endres,1993 GMC typhoon,Milwauke,580.235
2023-10-06,2023 National Championship,MA,25,Todd,Briley,1993 Subaru Impreza,Continental Divide,591.152
2023-10-06,2023 National Championship,MA,41,Mark,Macoubrie,2005 Subaru WRX STI,Kansas City,593.587
2023-10-06,2023 National Championship,MA,81,Danial,Ebling,1993 Subaru Impreza 3.3,Utah,606.264
2023-10-06,2023 National Championship,MA,17,Niles,Davis,2002 BHR Audi A4,Kansas,606.833
2023-10-06,2023 National Championship,MA,269,Shane,Blankenship,1995 Dodge 1995 Dodge,St Iowa,607.497
2023-10-06,2023 National Championship,MA,817,Benjamin,Howe,2006 Subaru Impreza WRX,Milwauke,616.200
2023-10-06,2023 National Championship,MA,55,Alex,Reinkordt,1994 Subaru Legacy SS,Nebraska,619.324
2023-10-06,2023 National Championship,MA,155,Kevin,Schatz,1994 Subaru Legacy,Nebraska,621.836
2023-10-06,2023 National Championship,MA,125,Valerie,Briley,1993 Subaru Impreza,Continental Divide,628.979
2023-10-06,2023 National Championship,MA,16,Joshua,Campfield,2002 Subaru WRX,Utah,637.536
2023-10-06,2023 National Championship,MA,34,Nefty,Bloom,2002 Subaru WRX,Wichita,645.502 
2023-10-06,2023 National Championship,MA,134,Ryan,Plourde,2002 Subaru WRX,Wichita,651.047
2023-10-06,2023 National Championship,MA,117,Joshua,Mefford,2002 Audi BHR A4,Kansas City,656.119
2023-10-06,2023 National Championship,MA,222,Jess,Moeding,2011 Mitsubishi Lancer,Land O Lakes,671.194
2023-10-06,2023 National Championship,MA,44,Austin,Dowda,1991 Honda RT4WD Wagon,Utah, 677.629
2023-10-06,2023 National Championship,MA,138,Kent,Hamilton,1991 Isuzu Impulse RS,Arctic Alaska,690.598
2023-10-06,2023 National Championship,MA,124,Blake,McIntyre,2002 Subaru Impreza WRX,Kansas City, 705.919
2023-10-06,2023 National Championship,MA,27,Chris,Delaney,1993 Subaru Gc8,Colorado,706.741
2023-10-06,2023 National Championship,MA,38,Jonathan,Olschewski,1991 Isuzu Impulse RS,Utah,710.599
2023-10-06,2023 National Championship,MA,24,James,Woodward,2002 Subaru Impreza WRX,Kansas City,723.113
