date,event_name,first_name,last_name,car_number,class,car_model,region,total
2025-11-08,2025 Central Divisional,Brian,Schrowang,458,SF,2008 Honda Fit,Iowa Region,1135.059
2025-11-08,2025 Central Divisional,Ben,Deschane,191,SF,2006 Mini Cooper S,Iowa Region,1148.451
2025-11-08,2025 Central Divisional,Peter,Stein,73,SF,1999 Toyota Camry,Iowa Region,1176.336
2025-11-08,2025 Central Divisional,Michael,Ballman,660,SF,2002 Mitsubishi Lancer oz rally,Iowa Region,1179.777
2025-11-08,2025 Central Divisional,Jeff,Wagenknecht,2,SF,2010 Ford Focus,Iowa Region,1200.803
2025-11-08,2025 Central Divisional,Madeleine,Anderson,88,SF,2005 Pontiac G6,Iowa Region,1278.87
2025-11-08,2025 Central Divisional,Greg,Frederiksen,277,SR,1987 Chevrolet Corvette,Iowa Region,1226.102
2025-11-08,2025 Central Divisional,Hugh,Hart,33,SA,1996 Subaru SVX,Iowa Region,912.405
2025-11-08,2025 Central Divisional,Michael,Goldenstein,266,SA,2013 Subaru WRX STi,Iowa Region,925.008
2025-11-08,2025 Central Divisional,Jason,Janowski,741,SA,2009 Subaru Impreza OBS,Iowa Region,942.371
2025-11-08,2025 Central Divisional,David,Lindemann,131,SA,2005 Subaru Forester,Iowa Region,976.888
2025-11-08,2025 Central Divisional,Jeffrey,Janowski,174,SA,2009 Subaru Impreza OBS,Iowa Region,983.566
2025-11-08,2025 Central Divisional,Marcus,Burr,338,SA,2002 Subaru Outback,Iowa Region,988.201
2025-11-08,2025 Central Divisional,Evan,Brewer,311,SA,2005 Subaru Forester,Iowa Region,1005.962
2025-11-08,2025 Central Divisional,Connor,Reiss,52,SA,2013 Subaru Impreza WRX,Iowa Region,1060.004
2025-11-08,2025 Central Divisional,Edwin,Cunill,5,PF,2006 Chevrolet Cobalt SS,Iowa Region,799.956
2025-11-08,2025 Central Divisional,Devin,Palmer,96,PF,2015 Volkswagen GTI,Iowa Region,809.702
2025-11-08,2025 Central Divisional,David,Capesius,190,PF,2004 Dodge SRT4,Iowa Region,843.189
2025-11-08,2025 Central Divisional,Sara,Sherman,711,PF,2012 Volkswagen GTI,Iowa Region,889.193
2025-11-08,2025 Central Divisional,Connor,Berry,150,PF,2004 Mitsubishi Lancer Ralliart,Iowa Region,906.613
2025-11-08,2025 Central Divisional,Matt,Schwab,718,PF,2012 Volkswagen GTI,Iowa Region,914.819
2025-11-08,2025 Central Divisional,Adam,Lacy,84,PR,1986 Ford Mustang GT,Iowa Region,1009.859
2025-11-08,2025 Central Divisional,Blade,Kuehnke,37,PR,2010 Ford Crown Victoria,Iowa Region,1057.584
2025-11-08,2025 Central Divisional,Sam,Sherman,46,PR,1998 Ford Mustang GT,Iowa Region,1110.256
2025-11-08,2025 Central Divisional,Dustin,Pick,461,PR,1998 Ford Mustang GT,Iowa Region,1116.227
2025-11-08,2025 Central Divisional,Alec,Stilwell,64,PA,2002 Subaru WRX,Iowa Region,1083.772
2025-11-08,2025 Central Divisional,Andy,Mertel,424,PA,1997 Subaru Legacy,Iowa Region,1348.765
2025-11-08,2025 Central Divisional,Bryan,Onofre,80,PA,2024 Toyota GR Corolla,Iowa Region,1360.836
2025-11-08,2025 Central Divisional,Shane,Blankenship,97,MF,1991 Honda Crx,Iowa Region,1084.202
2025-11-08,2025 Central Divisional,Andy,Weigel,8,MF,1999 Honda Civic,Iowa Region,1182.699
2025-11-08,2025 Central Divisional,Ryan,Klopf,197,MF,1991 Honda CRX,Iowa Region,1200.607
2025-11-08,2025 Central Divisional,Cooper,Endres,124,MF,2015 Fiat 500l,Iowa Region,1346.413
2025-11-08,2025 Central Divisional,Eric,Anderson,77,MR,1989 Toyota MR2ZZ,Iowa Region,1211.133
2025-11-08,2025 Central Divisional,Chris,Endres,421,MR,1969 Lotus Europa,Iowa Region,1258.13
2025-11-08,2025 Central Divisional,Travis,Hinkle,23,MR,2001 Lexus GS300,Iowa Region,1288.77
2025-11-08,2025 Central Divisional,Eric,Less,4,MA,2005 Subaru Impreza WRX,Iowa Region,922.17
2025-11-08,2025 Central Divisional,Aaron,Booms,53,MA,1995 Subaru Wagon,Iowa Region,958.772
2025-11-08,2025 Central Divisional,Jay,Kurth,24,MA,1995 Subaru Imprezaish,Iowa Region,962.432
2025-11-08,2025 Central Divisional,Benjamin,Howe,817,MA,2006 Subaru Impreza WRX STI,Iowa Region,1010.918
2025-11-08,2025 Central Divisional,Jamison,Whisenhunt,919,MA,2001 Audi A4,Iowa Region,1019.587
2025-11-08,2025 Central Divisional,Adam,Deschane,724,MA,1993 Subaru Impreza L,Iowa Region,1154.603
2025-11-08,2025 Central Divisional,Erik,Olson,199,MA,1996 Subaru Impreza L Sedan,Iowa Region,1187.539
2025-11-08,2025 Central Divisional,Dave,Eggert,99,MA,1996 Subaru Impreza,Iowa Region,1194.108
2025-11-08,2025 Central Divisional,gray,Harrison,72,MA,1993 Subaru impeza,Iowa Region,1232.710
2025-11-08,2025 Central Divisional,Gary,Griffith,121,MA,Subaru Impreza RS 2.5,Iowa Region,1312.027
2025-11-08,2025 Central Divisional,Zachary,Schmaedeke,297,UM,2023 Can-Am X3 RR,Iowa Region,845.433
2025-11-08,2025 Central Divisional,Dale,Bahr,35,UM,2022 Can-Am X3 Turbo RR,Iowa Region,895.132
