date,event_name,class,car_number,first_name,last_name,car_model,region,total
2020-08-15,2020 DirtFish National Championship,MA,81,Danial,Ebling,1995 Subaru Legacy,Utah,480.415
2020-08-15,2020 DirtFish National Championship,MA,426,Eric,Less,2005 Subaru Impreza WRX,Iowa,480.504
2020-08-15,2020 DirtFish National Championship,MA,38,Jonathan,Olschewski,1991 Isuzu Impulse RS,Utah,481.330
2020-08-15,2020 DirtFish National Championship,MA,318,Trenton,Von Holten,2016 Subaru WRX,Iowa,483.675
2020-08-15,2020 DirtFish National Championship,MA,46,Chase,Girard,2001 Subaru Impreza 2.5 R,Lone Star,492.399
2020-08-15,2020 DirtFish National Championship,MA,125,Valerie,Briley,2004 Subaru STi,Continental Divide,502.030
2020-08-15,2020 DirtFish National Championship,MA,12,Kevin,Schatz,1999 Audi A4,Nebraska,504.334
2020-08-15,2020 DirtFish National Championship,MA,146,Philip,Pickard,2001 Subaru Impreza,Colorado,507.332
2020-08-15,2020 DirtFish National Championship,MA,4,Joe,Lavelle,2002 Subaru WRX,Colorado,511.316
2020-08-15,2020 DirtFish National Championship,MA,51,Nathan,Jones,2010 Subaru Impreza WRX,Kansas,519.062
2020-08-15,2020 DirtFish National Championship,MA,36,Benjamin,Hanke,2005 Subaru Impreza Outback,Kansas,525.045
2020-08-15,2020 DirtFish National Championship,MA,63,Steven,Bright,2004 Audi TT Quattro,Kansas,526.907
2020-08-15,2020 DirtFish National Championship,MA,113,Caleb,Maggard,2004 Subaru Impreza WRX,Kansas,548.652
2020-08-15,2020 DirtFish National Championship,MA,53,Richard,Thompson,1987 Toyota Tercel 4wd,Kansas,828.096
