date,event_name,class,car_number,first_name,last_name,car_model,region,total
2025-10-17,2025 National Championship,SF,60,Tom,Harrington,2007 Honda Civic,Tennessee Valley,759.206
2025-10-17,2025 National Championship,SF,91,Chris,Raglin,2009 Honda Civic,Atlanta,761.628
2025-10-17,2025 National Championship,SF,191,Ryan,Finch,2009 Honda Civic,Northwestern Ohio,771.242
2025-10-17,2025 National Championship,SF,97,Hubert,Borowski,2008 Honda Civic,Continental Divide,780.184
2025-10-17,2025 National Championship,SF,94,Shawna,Bowman,2008 Honda Civic,Tennessee Valley,783.221
2025-10-17,2025 National Championship,SF,32,Harold,Denham,2006 Mini Cooper S,New England,811.596
2025-10-17,2025 National Championship,SF,160,Alicia,Harrington,2007 Honda Civic,Tennessee Valley,828.225
2025-10-17,2025 National Championship,SF,99,Keith,Lightfoot,2007 Nissan Sentra SER,Colorado,833.002
2025-10-17,2025 National Championship,SF,441,Kane,Nale,2010 Mazda SPEED3,Tennessee Valley,964.541
2025-10-17,2025 National Championship,SR,2,Michael,Golden,2001 Toyota MR2,Washington DC,810.326
2025-10-17,2025 National Championship,SR,93,Logan,Altmyer,2006 Nissan 350Z,Tennessee,815.455
2025-10-17,2025 National Championship,SR,7,Jason,Stewart,1999 Mazda MX-5/Miata,Tennessee Valley,827.103
2025-10-17,2025 National Championship,SR,137,Andrew,Benagh,1992 Mazda MX-5/Miata,New England,941.383
2025-10-17,2025 National Championship,SR,18,Ceili,McClarney,1997 BMW 318i,Tennessee,947.814
2025-10-17,2025 National Championship,SR,118,Jasmine,McClarney,1997 BMW 318i,Tennessee,948.201
2025-10-17,2025 National Championship,SR,37,Jason,Lee,1992 Mazda MX-5/Miata,Badlands,951.921
2025-10-17,2025 National Championship,SR,33,Josh,Armantrout,2000 Porsche Boxster,Milwaukee,952.635
2025-10-17,2025 National Championship,SA,63,Timothy,Thompson,2016 Ford Focus,Wichita,718.484
2025-10-17,2025 National Championship,SA,163,Robert,Seelig,2016 Ford Focus,Northeast Oklahoma,734.859
2025-10-17,2025 National Championship,SA,79,Charles,Wright,2018 Ford Focus,Tennessee Valley,739.231
2025-10-17,2025 National Championship,SA,186,Jan,Gerber,2006 Mitsubishi Lancer Evo,Nebraska,744.699
2025-10-17,2025 National Championship,SA,179,Shelton,Wright,2018 Ford Focus,Tennessee Valley,786.072
2025-10-17,2025 National Championship,SA,36,Jesse,Thompson,2025 Toyota GR Corolla,Washington DC,812.673
2025-10-17,2025 National Championship,SA,86,Steve,Ducharme,2006 Mitsubishi Lancer Evo,Nebraska,850.206
2025-10-17,2025 National Championship,PF,62,Christian,Retterer,2001 Acura Integra,Atlanta,675.346
2025-10-17,2025 National Championship,PF,85,Matthew,Thompson,2017 Ford Fiesta,Tennessee Valley,677.087
2025-10-17,2025 National Championship,PF,90,David,Capesius,2004 Dodge Neon SRT4,Iowa,682.830
2025-10-17,2025 National Championship,PF,36,Jim,Rowland,1993 Nissan Sentra,Ozark Mountain,692.703
2025-10-17,2025 National Championship,PF,5,Edwin,Cunill,2006 Chevrolet Cobalt SS,Tennessee Valley,716.036
2025-10-17,2025 National Championship,PF,97,Bartek,Borowski,2008 Honda Civic,Chicago,732.330
2025-10-17,2025 National Championship,PF,51,Dan,Sanford,2008 Honda Civic,Colorado,732.443
