driver_name,ranking,accuracy,activity,wins
Alicia Quiet,76,high,inactive,0
Tyler Powers,76,high,inactive,0
Ryan Redenbaugh,76,high,inactive,0
Kellen McIntyre,76,high,inactive,0
Randy Puls,76,high,stale,1
Robert Seelig,76,high,inactive,2
Trevor Mertz,76,high,active,0
Joshua Mefford,75,high,inactive,0
Jesse Bopp,75,high,stale,0
Brian Gilbreath,75,high,stale,0
Elizabeth Austin,75,high,inactive,0
Joseph Bopp,75,high,stale,0
Jonathan Olschewski,75,high,inactive,0
Derek Denti,75,high,inactive,0
Logan Dehne,75,high,active,0
William Ehrman,75,high,inactive,0
D'John Keith,75,high,stale,0
Brian Tefft Sr,75,high,inactive,0
Jason Janowski,75,low,active,0
Nathan Brasil,75,high,stale,0
Don Perlick,75,high,stale,0
Sam Whitworth,75,medium,stale,0
Bob Martin,74,high,inactive,0
Eric Collet,74,high,active,0
Taylor Mecsko,74,high,active,0
Mike Snyder,74,high,inactive,0
Brad Turnbull,74,high,inactive,1
Pete Remner,74,high,inactive,0
Howie Johnson,74,high,inactive,0
Clinton Padilla,74,high,stale,0
Chance Whittle,74,high,inactive,0
Jon Yanca,74,high,inactive,0
Robert White,74,high,active,0
Jorge Gonzalez,74,high,inactive,0
Philip Pickard,73,high,inactive,0
Donald Carl,73,high,inactive,2
Rodman Hunsaker,73,high,inactive,0
Bill Taylor,73,high,inactive,0
David Myers,73,high,inactive,0
Warren Elliott,72,high,inactive,1
Vincent Dozeman,72,high,stale,0
Grover Davis,72,high,stale,1
Rudy Bowen,72,high,stale,0
Tyler York,72,high,inactive,0
Blake McPherson,72,low,stale,0
Skye Romanoff,71,high,stale,0
Greggory Rome,71,high,stale,0
Greg Mercier,71,high,inactive,0
Preston Niebuhr,71,high,stale,0
Toby Harris,71,high,inactive,0
Alex Pankiw,71,high,inactive,0
Devon Winrick,71,high,stale,0
Peter Stein,71,low,active,0
Jackson Lee,71,high,inactive,0
Grant Steen,70,high,stale,0
Nathan Jones,70,high,inactive,0
Matthew Rogers,70,high,inactive,0
Steve Cerqueira,70,high,stale,2
Andrew Benagh,70,high,inactive,0
Brian Strack,70,high,inactive,0
Max Johnson,70,high,inactive,0
Ed Trudeau,70,high,inactive,1
Jody Trivette,70,high,active,0
Josh Armantrout,70,high,inactive,1
Steven Salinas,70,low,stale,0
Ryan Ruhle,70,high,inactive,0
Austin Hulings,70,high,active,0
Mason Smith,70,high,inactive,0
Blake McIntyre,69,high,inactive,0
Kevin Murphy,69,high,inactive,0
Samuel Smith,69,high,active,0
Peter Dozeman,69,high,inactive,0
Eric Adams,69,high,inactive,0
Harrison Loomis,69,high,inactive,0
Michael Ballman,69,low,active,0
Joe Lavelle,68,high,inactive,0
Jamison Whisenhunt,68,high,inactive,0
Ceili McClarney,68,high,stale,0
Benjamin Hanke,68,high,inactive,0
Steven Bright,68,high,inactive,0
Scott Embury,68,high,inactive,0
Eric Schaub,68,high,inactive,0
Ashley Roper,68,high,stale,0
Jeff Davis,68,high,active,0
Wade Eldridge,68,high,inactive,0
ML Culpepper,68,high,inactive,0
Richard Schreiber,68,low,stale,0
Harold Denham,67,high,inactive,0
Thomas Ezel,67,high,inactive,0
Kyle McIntyre,67,high,inactive,0
Jeremiah Hemphill,67,high,active,1
Ethan Buettner,67,high,inactive,0
Jacob Sobotka,67,low,stale,0
W.R. Sinosky,67,medium,stale,0
Jo Dziengel,67,high,inactive,0
John Joyce,66,high,stale,0
Jane Lien,66,high,stale,0
Jim Rowland,66,high,stale,3
Charles Carl,66,high,active,0
Ryan Haenny,66,high,inactive,0
Brian Mecsko,66,high,active,0
Parker Field,66,high,inactive,0
Ronald Barnes,65,high,active,0
Mason Herrick,65,high,inactive,0
Charles Krampert,65,high,stale,0
Lynn Dozeman,65,low,stale,0
Julian Gil,65,low,stale,0
Andy Weigel,64,low,active,0
Lee Reynolds,64,high,stale,0
Evan Masher,64,high,inactive,0
Candyce Smith,64,high,inactive,1
Jason Lee,64,high,stale,0
Jesse Thompson,64,high,active,0
Ceili Mcclarney,64,high,stale,0
Adam Deschane,63,high,active,0
Shawna Bowman,63,high,active,0
Larry Smith,63,high,inactive,0
Charles Graham,63,high,stale,0
Dylan Davis,63,high,active,0
Damon Espino,63,high,stale,0
Edwin Cunill,63,high,inactive,2
Geoffrey Hamilton,63,high,inactive,0
Alan McIntosh,62,high,stale,0
Jacob Light,62,high,inactive,0
Travis Hinkle,62,high,active,0
Katie Orgler,62,high,active,0
Parker Sattler,62,high,inactive,0
Jasmine McClarney,62,high,active,0
Mark Pray,62,low,stale,0
