driver_name,class,ranking,accuracy,events
Ryan Redenbaugh,MR,76,high,2
Brian Tefft Sr,MR,76,high,1
Andrew Benagh,MR,75,high,1
Clinton Padilla,MR,75,high,1
Kent Hamilton,MR,74,high,2
Bill Taylor,MR,74,high,1
Rodman Hunsaker,MR,73,high,1
Bob White,MR,73,high,1
Larry Smith,MR,73,high,1
Lee Reynolds,MR,72,high,1
Ian Jennings,MR,70,high,1
Brian Strack,MR,70,high,1
Meagan Cerqueira,MR,69,high,1
Ashley Roper,MR,68,high,1
Jeff Davis,MR,68,high,2
Randy Puls,MR,68,high,1
Kyle McIntyre,MR,68,high,1
Parker Field,MR,67,high,1
Chris Endres,MR,66,high,2
Ronald Barnes,MR,65,high,1
Charles Graham,MR,63,high,1
Dylan Davis,MR,63,high,1
Damon Espino,MR,63,high,1
Travis Hinkle,MR,62,high,1
Rob Heacox,MR,62,high,1
Susan Puls,MR,59,high,1
Brock Yoder,MR,59,high,1
Josh Mueller,MR,52,high,1
Colter Taylor,MR,25,high,1
Tristan Washburn,MR,12,high,1
Coen Washburn,MR,1,high,1
Alec Stilwell,PA,100,low,1
Mark Hill,PA,94,high,6
Matt Thiemann,PA,87,high,1
James Bingham,PA,84,low,1
Jason Fuller,PA,80,high,1
Jeff Maize,PA,77,high,1
Warren Elliott,PA,76,high,1
Edwin Cunill,PA,72,high,1
Max Johnson,PA,69,high,1
Wade Eldridge,PA,67,high,1
ML Culpepper,PA,65,high,1
Brian Ogara,PA,58,high,1
Jamison Whisenhunt,PA,53,high,2
Casey Hamm,PA,51,high,2
Joe Lavelle,PA,50,high,1
John Joyce,PA,50,high,1
Hal Denham,PA,49,high,1
Cory Siler,PA,46,low,1
Sevag Chanchanian,PA,46,low,1
Tyler Schrameck,PA,46,low,1
Nicholas Maier,PA,46,high,1
Colin Sheidler,PA,45,low,1
Patrick Marcum,PA,45,high,2
Jennifer Samardak,PA,42,high,1
Zachary O'Hare,PA,38,high,3
Alan Sheidler,PA,37,low,1
Scott Francis,PA,37,high,1
Matt Pinheiro,PA,37,low,1
Eric Sinclair,PA,36,low,1
Tristan Washburn,PA,34,high,1
Brandon Clayton,PA,34,high,1
David Raskowsky,PA,31,low,1
Amanda Maize,PA,29,high,1
Sam Borda,PA,26,low,1
Lucas Laeser,PA,25,high,1
William Morris,PA,19,high,1
Karan Bagga,PA,18,low,1
Andy Mertel,PA,13,low,1
Bryan Onofre,PA,10,low,1
Jonathan Park,PA,3,high,1
Ian Nevins,PA,1,high,1
Bill Martin,PF,100,low,1
Matt Thompson,PF,58,high,1
Christian Retterer,PF,58,high,6
Jason Fuller,PF,57,high,2
Jim Rowland,PF,57,high,4
Donald Carl,PF,56,high,1
Matthew Thompson,PF,56,high,2
Jacob Light,PF,55,high,1
David Capesius,PF,55,high,5
Chris O Driscoll,PF,54,high,1
Edwin Cunill,PF,54,high,5
Ryan Hard,PF,54,high,2
John Black,PF,54,high,1
Peter Dozeman,PF,53,high,1
Bartek Borowski,PF,53,high,1
Dan Sanford,PF,53,high,1
Cameron Gransee,PF,53,high,1
Alan Copeland,PF,52,high,1
Nick Lindsay,PF,52,high,1
Jacob Hickman,PF,52,high,1
Greg Cheney,PF,52,high,1
Sidney Scott,PF,52,low,2
Ed Trudeau,PF,51,high,1
Jerry Ashmore,PF,51,high,1
Alex Ashbaugh,PF,51,low,1
Bryan Tippens,PF,50,high,1
Devin Palmer,PF,49,high,2
John England,PF,49,low,1
Bradley Kropp,PF,49,high,4
Meredith Campbell,PF,48,high,1
Warren Elliott,PF,48,high,2
Charles Palmer,PF,47,high,1
Sara Sherman,PF,47,high,1
Chaz Smith,PF,47,high,2
Connor Berry,PF,46,high,1
Matt Schwab,PF,45,high,1
Broxlin Pace,PF,44,high,1
James Meeks,PF,41,high,1
Duke Dunsford,PF,36,high,1
